                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.96335,                 1.0417,                 1.4624,                0.90545,                0.87708,                0.96259,                0.72644,                0.97562,                0.73259,                 1.6699,             0.00075995,             0.00075995,             0.00075995
                    102,                0.97915,                 1.0543,                 1.4634,                0.88373,                0.94821,                0.98096,                0.70475,                 1.0656,                0.70044,                 1.7798,               0.000755,               0.000755,               0.000755
                    103,                  0.957,                 1.0288,                 1.4645,                0.95619,                0.91137,                0.96693,                0.74445,                0.91268,                0.63106,                 1.6259,             0.00075005,             0.00075005,             0.00075005
                    104,                0.93969,                0.99839,                 1.4248,                0.93797,                0.89124,                0.97516,                0.73881,                0.96823,                0.67745,                 1.6635,              0.0007451,              0.0007451,              0.0007451
                    105,                0.98361,                0.99636,                 1.4768,                0.95739,                0.92513,                 0.9707,                0.73679,                0.97448,                  0.714,                 1.6698,             0.00074015,             0.00074015,             0.00074015
                    106,                0.95694,                0.99351,                 1.4688,                0.96964,                0.92376,                0.98158,                0.75464,                0.97518,                0.64608,                  1.686,              0.0007352,              0.0007352,              0.0007352
                    107,                0.91653,                0.91578,                 1.4274,                0.95152,                0.90493,                0.97207,                0.73509,                 0.9791,                0.62165,                 1.6497,             0.00073025,             0.00073025,             0.00073025
                    108,                0.93144,                0.95806,                 1.4256,                0.88413,                 0.9071,                0.96505,                0.70823,                 1.0129,                0.71368,                 1.6499,              0.0007253,              0.0007253,              0.0007253
                    109,                0.96898,                0.99135,                 1.4416,                0.93067,                0.90303,                0.97723,                0.73821,                0.94265,                0.71531,                 1.5812,             0.00072035,             0.00072035,             0.00072035
                    110,                0.94401,                 1.0057,                 1.4356,                0.92872,                0.94897,                0.99016,                0.73915,                0.96501,                 0.6207,                 1.6287,              0.0007154,              0.0007154,              0.0007154
                    111,                0.92935,                 0.9439,                 1.4258,                0.88607,                0.94404,                0.97844,                0.73566,                 1.0013,                0.67814,                 1.6864,             0.00071045,             0.00071045,             0.00071045
                    112,                 0.8963,                0.96705,                 1.4006,                0.94777,                0.87729,                0.97932,                0.72471,                 1.0136,                0.70374,                 1.7766,              0.0007055,              0.0007055,              0.0007055
                    113,                0.91949,                0.95531,                 1.4128,                0.85771,                0.92048,                0.96842,                0.73323,                0.97998,                0.72754,                 1.6698,             0.00070055,             0.00070055,             0.00070055
                    114,                0.87947,                0.89989,                 1.3843,                0.97275,                0.92489,                0.98587,                 0.7477,                0.96179,                0.63394,                 1.6612,              0.0006956,              0.0006956,              0.0006956
                    115,                0.89536,                0.88762,                 1.3835,                0.97417,                0.94049,                0.98955,                0.75447,                0.96959,                0.60096,                 1.6435,             0.00069065,             0.00069065,             0.00069065
                    116,                0.91723,                0.92777,                 1.4331,                0.87947,                0.93617,                0.98193,                0.74933,                0.93767,                0.71097,                 1.6387,              0.0006857,              0.0006857,              0.0006857
                    117,                0.91091,                0.94678,                 1.3924,                0.89496,                0.97068,                0.99253,                0.75686,                0.91783,                0.62526,                 1.5634,             0.00068075,             0.00068075,             0.00068075
                    118,                0.89897,                0.90829,                 1.3879,                0.96566,                0.91489,                 0.9858,                0.75925,                0.92673,                0.60188,                  1.585,              0.0006758,              0.0006758,              0.0006758
                    119,                0.95057,                0.90117,                 1.4316,                0.99721,                0.92288,                0.98836,                0.75932,                0.90953,                0.60385,                 1.5941,             0.00067085,             0.00067085,             0.00067085
                    120,                0.94803,                 0.9146,                  1.439,                0.95822,                0.94417,                0.98823,                0.70519,                0.99162,                  0.623,                   1.62,              0.0006659,              0.0006659,              0.0006659
